,Timing...First.Click.55,Timing...First.Click.56,Timing...First.Click.57,Timing...First.Click.58,Timing...First.Click.59,Timing...First.Click.60,Timing...First.Click.61,Timing...First.Click.62,Timing...First.Click.63,Timing...First.Click.64,Timing...First.Click.65,Timing...First.Click.66,Timing...First.Click.67,Timing...First.Click.68,Timing...First.Click.69,Timing...First.Click.70,Timing...First.Click.71,Timing...First.Click.72,Timing...First.Click.73,Timing...First.Click.74,Timing...First.Click.75
83,10.08,54.622,3.263,26.087,1.218,38.085,2.845,37.856,1.58,21.778,3.394,23.562,1.251,21.916,1.168,55.518,1.508,52.232,1.153,45.662,0.832
84,7.693,32.14,5.658,43.496,10.669,46.075,2.307,23.314,2.881,42.846,2.251,26.836,2.079,46.434,2.532,47.57,4.727,24.137,4.139,26.469,1.755
85,6.17,25.335,7.783,2.118,1.959,1.775,2.148,1.502,1.136,30.171,4.51,21.42,1.097,37.733,1.794,39.938,0.988,0.239,1.87,31.284,1.191
86,3.595,18.357,1.787,34.956,1.583,17.302,1.37,17.639,1.213,33.155,1.489,8.667,2.342,14.766,1.696,11.897,1.378,11.143,2.085,10.371,1.817
87,3.059,214.928,4.016,80.954,1.496,24.481,2.339,56.876,1.41,63.13,0.842,3.841,2.32,13.207,0.901,25.818,2.389,10.954,0.89,16.496,1.794
88,2.787,20.477,2.333,14.939,1.691,15.631,1.575,2.823,1.44,10.395,0.538,5.629,0.922,1.41,0.479,0.766,0.714,0.623,0.417,11.434,0.776
89,2.519,64.434,1.804,18.294,3.195,16.357,0.562,10.832,1.804,7.793,1.504,2.896,1.923,7.857,1.679,10.998,0.682,5.968,0.459,34.463,0.051
90,18.871,35.673,3.844,38.324,2.058,55.7,1.208,23.007,1.216,25.024,1.538,59.715,1.352,37.093,1.222,26.433,1.766,23.988,1.419,38.668,1.063
91,3.906,17.507,3.452,21.612,3.788,39.381,3.761,11.767,2.565,22.957,3.238,21.7,2.506,24.498,2.56,15.471,2.546,21.018,2.681,23.645,2.308
92,6.005,6.703,2.934,19.926,2.611,15.145,1.256,11.802,0.825,9.631,1.001,9.932,1.243,7.654,0.598,11.319,0.595,12.804,0.627,3.28,0.699
93,6.343,17,11.826,28.518,3.448,8.458,2.108,29.499,3.563,17.189,1.45,21.541,1.102,25.534,11.973,28.067,1.669,26.66,1.464,23.098,3.387
94,824.809,60.938,6.14,27.492,3.227,50.518,3.12,26.339,2.371,28.528,2.256,26.114,5.442,58.093,3.043,23.697,5.546,61.814,2.329,30.132,2.319
