"","X","data_1","data_2","data_3","data_4","data_5","data_6","data_7","data_8","data_9","data_10","data_11","data_12","data_13","data_14","data_15","data_16","data_17","data_18","data_19","data_20","data_21","data_22","data_23","data_24","data_25","data_26","data_27","data_28","data_29","data_30","data_31","data_32","data_33","data_34","data_35","data_36","data_37","data_38","data_39","data_40","data_41","data_42","data_43","data_44","data_45","data_46","data_47","data_48","data_49","data_50","data_51","data_52","data_53","data_54","data_55","data_56","data_57","data_58","data_59","data_60","data_61","data_62","data_63","data_64","data_65","data_66","data_67","data_68","data_69","data_70","data_71","data_72","data_73","data_74","data_75","data_76","data_78","data_79","data_80","data_81","data_82","data_83","data_84","data_85","data_86","data_87","data_88","data_89","data_90","data_91","data_92","data_93","data_94","data_95","data_96","data_97","data_98","data_99","data_100","data_101","data_102","data_103","data_104","data_105","data_106","data_107","data_108","data_109","data_110","data_111","data_112","data_113","data_114","data_115","data_116","data_117","data_118","data_119","data_120","data_121","data_122","data_123","data_124","data_125","data_126","data_127","data_128","data_129","data_130","data_131","data_132","data_133","data_134","data_135","data_136","data_137","data_139","data_140","data_141","data_142","data_143","data_144","data_145","data_146","data_147","data_148","data_149","data_150","data_151","data_152","data_153","data_154","data_155","data_156","data_157","data_158","data_159","data_160","data_161","data_162","data_163","data_164","data_165","data_166","data_167","data_168","data_169","data_170","data_171","data_172","data_173","data_174","data_175","data_176","data_177","data_178","data_179","data_180","data_181","data_182","data_183","data_184","data_185","data_186","data_187","data_188","data_189","data_190","data_191","data_192","data_193","data_194","data_195","data_196","data_197","data_198","data_199","data_200","data_201","data_202","data_203","data_204","data_205","data_206","data_207","data_208","data_209","data_210","data_211","data_212","data_213","data_214","data_215","data_216","data_217","data_218","data_219","data_220","data_221","data_222","data_223","data_224","data_225","data_226","data_227","data_228","data_229","data_230","data_231","data_232","data_233","data_234","data_235","data_236","data_237","data_238","data_239","data_240","data_241","data_242","data_243","data_244","data_245","data_246","data_247","data_248","data_249","data_250","data_251","data_252","data_253","data_255","data_256","data_257","data_258","data_260","data_261","data_262","data_264","data_266","data_267","data_268","data_269","data_270","data_271","data_272","data_273","data_274","data_275","data_276","data_277","data_278","data_279","data_280","data_281","data_282","data_284","data_285","data_286","data_287","data_288","data_289","data_290","data_291","data_292","data_293","data_294","data_295","data_296","data_297","data_298","data_299","data_300","data_301","data_302","data_303","data_304","data_305"
"33",33,342433,434849,458240,747074,265463,218552,169109,148058,164661,166664,161336,245840,170063,167240,162176,122481,183897,232996,257739,309189,238730,123740,165655,297535,351999,369838,293513,161434,141753,212079,224410,372224,199609,164704,178176,197554,327473,194989,477233,278417,219211,238248,217963,266508,246000,334289,196643,179258,256553,264816,306950,200023,246305,254477,200016,312196,212258,319509,257753,285106,857518,317639,649128,376097,1059358,481284,403272,130047,243071,116907,81651,118696,91160,257706,2212581,299405,162393,134834,213183,298183,151201,154541,152369,166252,186163,189346,259159,195660,298085,171999,185383,256664,218809,204202,346330,173156,196792,142057,353156,233002,312028,192806,209128,334159,420757,280009,264943,361302,273426,189808,377354,351665,216359,249975,281886,162305,147965,251149,207086,276257,134241,252843,201341,153288,510197,219750,274051,122110,339159,304712,165420,209001,240832,239854,258418,281870,196820,210895,243202,213368,207887,293960,317873,284154,270659,263881,244198,307247,442762,172743,277481,250030,229345,388133,216981,311210,396295,294333,230565,354000,366698,428092,251688,278445,367089,209477,430938,347692,216496,283751,356302,233061,317969,310813,333770,428118,454194,415721,272840,414459,377216,509716,288484,273837,295905,265257,216880,306522,431164,341183,275074,309456,327842,528692,194368,185894,274059,367612,312541,335284,427534,185875,320579,257922,446569,698301,584969,263646,488953,374296,371630,430600,458197,179133,346413,505696,243138,352768,261308,335722,297583,289363,192524,346830,306656,565793,563923,1027330,334877,247453,461039,231530,322255,498871,643917,166396,415000,406163,514756,316021,495428,153687,384154,407764,254320,360451,261807,496920,857609,456802,437137,1567296,559056,694666,511941,444103,339317,517507,228261,1801671,534123,630709,329373,284416,158675,199585,84738,152610,267540,205283,235452,198058,184633,144154,286069,376200,245481,298198,263669,347956,257260,303176,623208,368326,560392,269648,275110,195746,1045123,347216,1006140,175230,243803,427246,257865,262930,226067,545908
"34",34,348368,440529,465809,766882,272359,220504,172496,150624,166525,170016,162680,248694,175494,174820,165497,126169,186964,238805,267498,313078,243876,126304,168759,300694,356338,376380,296720,165784,145241,215798,227455,374028,203467,167166,181556,204242,331193,197720,486142,285439,390237,242618,221251,270782,248750,339066,206362,182823,261041,268784,311205,202857,261645,262740,203294,316941,215401,324396,266094,293224,860747,320467,656744,383313,1069993,498116,415991,135149,246083,117706,83389,121356,92193,260826,2275400,300954,165560,137886,219029,310567,153664,166253,155676,168820,191116,193574,267521,198612,300854,173281,189703,261442,223341,207986,350189,176172,200821,164070,358495,237879,320105,196331,211863,338840,429915,284121,269927,365390,294450,195888,382024,353977,220160,253134,287089,165537,151134,257237,210250,279966,137727,257934,207454,156462,515299,223533,278748,125850,342933,307897,168054,213392,265648,243113,263151,286916,201156,214405,247393,216849,211926,302072,323151,292624,278496,269091,248428,312103,446411,176233,282383,253454,235890,395701,221582,315450,399302,298814,235053,358224,370779,434077,257248,282261,376596,213662,438714,355070,222473,289366,359451,238500,323381,315051,346986,436690,459417,420341,277682,427157,384084,520728,293330,277084,305716,286666,220676,309928,446116,346457,277992,314799,333074,539023,199896,191285,281602,378508,319879,345292,434137,191179,326324,264538,451050,702071,588799,267498,492754,382431,382797,456594,466012,182707,352337,510689,249674,357248,266189,340721,304513,294971,197297,354723,313290,571496,568808,1030504,339887,252379,465696,234676,326790,504457,646593,170213,422316,409528,518646,322072,499267,158032,388401,425622,259857,370500,267275,501164,864570,461748,448120,1570553,563056,698692,516413,446055,354229,525579,234686,1804963,539191,681754,333392,288974,164135,204684,86694,158608,270399,209596,241062,203437,188289,146956,290137,380685,249812,302663,269913,352888,261223,307021,630120,375193,569814,275090,282894,201219,1049499,350527,1039972,178710,249632,432735,261757,265252,231122,550117
"35",35,351213,446234,474671,791265,277599,222143,174701,154721,168164,174328,164126,251135,179151,177823,169672,130402,190414,244546,273490,316099,249268,129362,174511,307426,359576,378794,299325,168516,148105,218438,231013,375683,220866,170604,183969,212290,349481,203758,490685,291301,395771,246163,226132,274577,250970,343973,210991,184992,266273,272080,316587,205569,273895,270207,206128,323246,219339,331272,268720,296589,865286,324278,675694,399643,1079481,515422,423347,137375,252559,118513,84886,123622,94223,262817,2278009,302171,174293,140638,222770,313719,156112,170772,158894,171092,195971,200474,271600,200940,303574,174267,193663,264743,228511,215114,357551,178284,204605,167974,363053,242483,324375,199364,215721,343848,436556,288306,273423,370552,298449,213039,385909,357272,223518,256150,289994,169311,156355,262509,213972,283383,140049,260356,212584,159653,518930,227056,288094,131051,345437,311497,172837,218002,272214,246935,267285,292003,204407,217475,251334,221378,215449,310464,326729,303918,286255,275804,250815,316613,451698,179133,287997,258254,244577,401486,224876,318554,402653,302302,238452,364360,376015,439476,261997,285309,380634,217088,443258,363171,231186,295172,362528,244851,330657,318588,349994,445046,466897,424695,281690,430907,391293,527335,298837,279805,311951,290155,224205,317179,449126,351796,282533,323097,335842,546142,203680,198959,285468,388357,324414,350443,438094,193611,332924,268249,472750,705372,592183,272412,497449,385944,385886,467986,477275,185177,355381,522032,253882,364268,272552,344868,309351,299827,199799,364348,319022,574345,580146,1035129,346041,256443,471047,242379,329549,511128,651407,173709,428927,413843,523603,328294,509283,162411,393034,439975,265455,373638,270215,503462,869880,470419,468239,1573544,568108,705864,524878,448135,368765,528139,238429,1809012,544675,686610,336880,298907,167502,207710,90159,160471,274145,213644,244394,207977,193041,149298,293357,384764,253497,307047,274615,358459,264904,311930,636443,385237,577677,279220,287750,206322,1053243,354635,1046091,182303,253885,437070,265052,268155,246202,559660
"36",36,363900,455881,482667,813641,282551,224095,180224,158614,169980,177680,165420,254644,182140,179725,174816,133361,195048,251427,284339,322282,252841,131790,255310,312377,367562,381887,306342,171520,150358,221807,238012,378160,224880,174152,187940,219654,353607,206618,500630,302485,403970,251116,231747,297576,255906,355314,216208,192633,272044,278069,323273,208709,278163,276281,209398,328890,224440,336793,275183,300723,870184,338281,680827,404846,1084123,520580,428145,139735,258966,119553,86365,125205,99336,265305,2280931,303753,178496,144200,227222,318054,158936,173812,163555,174084,201667,204556,275431,210073,310017,175333,197255,271170,231971,218442,362794,182125,209266,177839,368732,249089,332606,203696,220583,356119,441514,294374,279871,375450,308810,215066,390276,361602,227553,259502,294599,172048,160306,268894,219576,290416,144123,271979,218168,163217,528812,230242,305225,135816,351251,318426,175419,221421,288180,259289,273448,299137,210735,256103,256746,225680,220658,320410,338139,308144,291866,282017,255192,324862,458907,183190,302967,262574,248826,409645,233374,325778,409473,308558,242999,370887,388995,444245,267072,290621,386899,222319,454050,371465,254034,300901,367775,248444,338217,328856,354795,454011,480002,431711,287144,436369,397186,540779,306032,285190,318980,305299,227904,323015,460006,359687,286852,327845,341723,565490,210456,202023,291889,404852,330457,355218,449760,197476,361594,274513,486097,710463,597541,279359,503913,399840,391399,475863,481746,192453,377721,527758,258122,368973,280955,351820,314582,305788,203169,369339,324821,578617,586874,1040097,351608,262289,477236,245751,336039,520908,655368,221604,437475,421098,531652,334395,515075,166042,397537,455845,271525,377205,273973,521045,880178,476978,477403,1577832,580199,713800,529934,457871,382062,531643,247878,1852350,550429,719753,340825,319219,171682,211905,92227,168041,280940,217188,250382,211707,196505,151391,300705,392934,259446,313191,285229,362962,271460,320339,645570,390248,586225,286134,299246,210132,1134420,361926,1055572,187455,258385,440751,269927,275828,250163,567313
"37",37,367760,461505,488175,915505,286679,226040,183437,161065,171811,181528,166823,258683,184609,182250,178815,135297,199215,256898,288403,326496,257069,135534,258710,325169,371978,384141,311773,175179,153448,224495,241055,386548,228881,177318,191738,225026,358050,208575,506391,307451,412386,256241,236172,320606,260277,362937,219134,200877,277200,282236,329232,213055,283616,289877,213999,333118,228813,342313,279610,307786,874648,343276,686327,408641,1087969,529439,433708,143179,267039,120777,87644,126480,100358,269034,2286020,305053,183335,153250,232907,320678,161529,177541,170043,177147,206651,208957,280928,214896,317341,177538,199895,273744,234147,225466,367321,185576,213444,180700,374988,253177,340055,207441,223599,362128,448219,301915,284847,381252,313842,217420,394011,367574,231862,262742,299982,173786,163459,273502,221770,294228,146739,278411,223014,166725,532292,232925,316011,141159,354172,323947,177340,225145,292228,270774,278181,315225,215477,259099,262932,231697,228299,327800,342452,312039,297085,288638,260110,329696,462949,193364,307757,267229,252258,414773,237944,332130,413654,312950,244857,374840,397048,448893,272870,296957,391092,226872,461994,377604,258472,305953,373454,250961,343334,334280,358427,462279,485993,447922,292644,443539,402935,550453,311752,290128,323173,313649,233856,330356,462926,367850,290941,334328,348875,567840,218072,204854,297662,409579,333140,359059,451918,200787,367082,277233,493035,714275,600789,293117,512505,404271,397386,488654,486490,195593,383786,534804,263122,383624,283659,357951,316866,314043,206737,371997,333544,581164,593608,1044718,356617,267118,481540,250826,341570,531086,658407,241459,444802,426495,540932,343096,518371,169612,411827,464911,275603,381784,277078,529104,1035078,483681,482411,1581138,620178,721611,535574,461743,392485,534259,253341,1856827,555919,735618,344268,322366,177810,217203,96034,173191,285262,219867,254342,213858,198713,155474,307537,397319,268629,316352,288296,369976,276609,325581,650811,396850,594492,291334,305998,212904,1145668,432363,1067668,190680,262165,444287,275708,281001,254066,572160
"38",38,376753,467937,494287,937097,291439,228271,187969,166073,175209,186304,168109,264391,188263,183997,183290,140716,202848,260882,294611,334574,262835,139493,261350,334018,381722,387326,317718,179985,157693,228943,243848,388072,232351,181259,198302,234381,360624,210954,513816,317457,416636,260966,238859,325980,265506,368698,223323,223229,281537,296775,337990,218658,291641,299027,218532,341913,234078,347825,286458,312385,880026,366065,691378,413147,1092113,537830,439378,147194,272479,121842,89041,128335,101343,274537,2289810,306337,187565,155795,242223,323590,165144,180333,176424,180877,212164,212553,284049,220744,324058,178575,203183,280636,236623,229114,371721,188754,217859,183352,382319,256761,344977,212778,226558,374487,450922,307821,293823,386258,319954,220777,398081,376438,243027,266822,313558,176004,170930,277904,226910,299765,153616,285602,228694,171287,541288,236217,319457,148875,357228,330799,181201,228171,295928,275177,282705,325865,225764,263075,269980,236797,231583,338097,351769,316934,305629,294534,269000,336478,466623,202480,311806,276686,257389,420012,243219,340242,419424,316822,248882,383591,415785,454677,278434,305941,394800,232504,467690,385592,262439,311319,389178,254876,355962,339088,393244,472884,494146,454923,299172,450032,410740,558118,326506,295405,329953,372388,240345,334920,466206,372190,305090,337956,420131,572101,225664,208213,308308,433516,340852,364806,458431,209859,371802,281048,525847,721142,612247,298450,549654,408480,406459,499362,495510,199025,389661,540290,266450,390198,316459,367357,322210,319131,211811,375245,342334,584908,599839,1049989,361633,277765,486147,255105,351123,537476,662646,252499,455620,432489,552296,356079,523012,172413,418854,475541,278893,390167,286248,570682,1042504,489442,488584,1585048,624978,734046,540646,496328,403805,537299,261445,1924526,561739,740533,357940,325554,180172,222470,98806,182975,295107,222228,262915,218258,202177,158396,314679,405604,275313,322384,295214,378148,288464,340437,663439,404113,608013,298808,318343,215742,1149956,475300,1142691,192976,269636,453328,288631,285623,258603,576227
"39",39,381601,472561,498333,957528,294935,230264,191217,169428,177007,189360,169479,267003,191462,185395,186598,143751,205098,264275,301387,337249,267434,142639,264367,339399,385289,391831,321470,183011,159891,232119,255555,389456,236105,183849,201660,238009,366573,213474,519379,323746,420702,265256,243539,329298,269131,380555,229816,226897,290212,301392,343201,221751,294329,302901,222193,348622,237178,354026,289168,319345,885905,375276,701777,417200,1095533,543141,447549,150052,278572,123281,90402,132960,102708,276354,2294151,307585,192276,158713,245854,328182,173041,183596,181495,183085,219396,217625,289467,225416,328293,179430,206399,286479,240153,233379,376135,191269,221506,186550,385296,261631,351246,216190,230284,380887,454421,313517,297791,390802,325757,223793,402836,379824,244775,271190,318817,177986,174967,281256,231026,325013,155641,292355,233235,174607,548560,239478,325667,154632,360787,335219,184597,231088,300228,277646,287849,331261,232519,266809,275242,239928,235878,343330,357448,325621,311729,299257,273325,341196,471563,205893,318968,282381,263274,426461,246235,345082,423872,319926,254138,387456,426895,459469,284258,310230,399540,240358,471587,394391,265115,315365,392903,258512,360737,342495,397204,482960,500561,462781,305666,453565,417303,566587,332880,298368,335974,404698,244832,338767,471318,383456,309099,342733,423634,575952,230001,212111,315550,439947,347776,369719,463806,213763,377184,285041,530782,723764,615568,305014,553823,412127,428116,508275,499061,202613,393751,547221,270026,399522,320948,375121,328139,337140,215399,380773,347866,587488,604136,1053721,367609,281477,491099,258148,354236,544151,670615,257626,462383,436947,556681,366860,528884,176245,427738,491156,289317,396718,290383,573337,1048868,494818,496652,1587656,629038,740845,545726,498759,416069,539115,268773,1930165,567193,746587,361766,332474,183637,226739,101966,185350,298503,224436,266404,226299,206745,430200,323589,409449,280195,329656,298427,381364,293513,346869,670316,412153,619318,302884,323639,218670,1153155,487427,1147315,195320,275336,458135,294732,315966,264339,582154
"40",40,385993,476721,514713,983688,301695,231456,193261,171995,179309,197344,170758,273107,195568,186647,189608,145850,209099,268050,307419,342536,272123,145509,267126,343373,392691,395408,323643,185612,162898,234671,262547,392688,239226,187222,205036,240450,369856,216623,522780,329712,423855,268753,245971,332471,273081,384831,233314,236233,293588,310540,346286,228460,298491,307129,226421,354222,241725,357730,292047,325265,888940,378241,710328,422503,1102193,546580,456269,155066,283122,124227,91789,135716,103917,277609,2370736,308752,196252,162253,248793,332486,174840,188748,186440,185637,222811,223239,295392,228636,332727,180341,212111,289522,244027,235842,379253,197117,225167,190052,388926,263827,359894,220121,234096,385935,460893,318662,316447,394775,345114,227553,406416,382544,247558,274774,322053,181080,179287,287993,235703,327394,159343,296579,237014,177779,553452,243483,334349,158134,366208,339767,187570,235004,304277,280504,290691,335239,236594,307809,280041,246837,240697,347480,371385,331394,317148,306513,277430,345964,475319,210123,322068,285893,268430,429721,249463,348650,427154,322854,259472,390223,432101,465933,287762,314389,405126,244225,477980,402124,271850,319946,406671,263119,376249,352342,413989,491110,509513,466145,309596,459088,423132,573815,336823,304059,340002,406618,250987,341621,474918,392265,311725,350564,427442,580493,233392,215135,320962,443099,354469,385204,469511,220155,382761,290160,538675,728144,618766,307894,557960,415888,432830,513419,503285,205015,395701,553590,276586,405714,325260,406816,346185,341651,217718,385416,353614,592128,611488,1057018,373017,286676,494484,262036,357738,549250,676730,262971,467996,441104,561631,370090,539324,179084,431503,498914,295617,399767,295754,576878,1053916,504443,504490,1589863,820521,745898,549438,515176,426901,546436,271597,1934266,574157,780019,370428,337727,186761,231979,105530,187503,304612,227285,269291,230495,211849,434235,327988,413184,284747,332680,304455,385964,296527,355720,677478,416088,626065,308104,329670,222568,1155155,509952,1157786,198472,279589,462043,298253,319329,268803,590435
"41",41,393665,495505,533422,1010496,308422,232791,198541,175067,181194,201192,171894,278594,200394,188064,193974,150041,211782,271282,314730,349941,276800,149016,269662,348237,396643,398699,329429,187958,165554,236718,271723,394471,242002,190671,209904,245506,376064,219326,524954,335375,428145,275027,247972,336613,278188,393187,237211,258845,300025,315134,354206,231293,309859,310548,231347,358551,247829,365570,299451,331112,892530,380901,718460,427257,1108605,550282,467965,158682,292345,126753,93368,140034,105433,278769,2414497,310268,199084,165919,252480,340518,177576,193197,189862,188655,226340,226841,300083,232858,337436,181466,216247,296634,249420,238962,382410,200046,229198,192698,393716,266218,364476,223823,237308,391823,466008,322894,319847,399172,349522,231997,410029,391270,251387,278582,326513,185622,183957,294769,240727,336125,163158,300051,239875,180587,564459,246752,338430,161809,370924,347249,191060,241015,308298,284875,294788,340618,240345,314363,284220,253587,246233,351118,377839,337777,322583,313114,282090,349705,480213,213691,325562,289189,271798,455016,254054,354010,431553,328734,264735,396215,458292,476725,292342,322565,411313,249107,483171,410718,274554,323594,412610,267213,381934,357834,421645,499618,517097,477636,317916,463887,435179,584914,344508,307525,344145,448104,255146,344184,480054,399931,316824,360065,432162,585199,240457,218598,326584,455259,361035,392045,477942,225107,390096,296056,544951,733611,627182,314194,571680,431694,443026,517366,506571,211137,398508,558943,298409,414050,328038,410485,354308,352164,226788,390189,358009,595942,617518,1060055,378176,293470,500291,264512,362281,554090,681250,267730,475373,447857,572343,387396,554116,181999,438823,503100,303766,403651,300014,579976,1062014,509312,521503,1592945,832624,752478,556190,518335,438236,552163,275630,1941359,579645,789973,374570,342376,188753,237059,108022,190096,308101,229908,273523,237578,219225,436452,333275,421428,293161,336937,310749,393070,300070,359811,685863,419809,634232,314536,338646,229186,1158483,517189,1168538,201632,285299,466103,302533,323672,271282,595918
"42",42,400351,501777,540443,1026560,313774,234128,201437,177809,183299,204984,173240,282682,204324,189255,198573,153721,214266,280836,318627,354385,281514,152001,273942,350916,409815,401173,331940,190914,168544,238782,276543,396428,246396,192919,212150,247882,378771,221911,545605,338880,434725,278011,250803,340334,284760,398886,241316,263354,304552,318249,358907,232444,312255,315419,253001,364583,251449,372907,304293,335421,895617,384426,721695,437808,1111877,553737,475953,161394,296458,127690,94650,142149,107114,286722,2442936,311368,203620,168198,256780,342374,179056,196492,192433,190605,229548,232255,302731,235610,342450,182446,218919,300164,251923,243210,386836,202528,234168,196864,396254,305301,370016,226565,241288,397920,469715,327191,325014,404874,354810,233968,418689,393556,256083,283718,332953,190278,187126,299130,243829,338479,165672,302539,247485,184357,569638,251414,344363,165581,374039,352957,193351,247661,312945,287561,302415,344165,243978,316265,297293,256970,249501,356844,381059,341311,328365,319545,285707,353019,485547,215989,332929,293053,276215,477536,259717,356970,435447,333014,268075,400152,464217,481148,299853,329253,414520,252550,486531,417485,281297,329190,423972,270783,388906,361501,426189,509743,527723,481088,322354,468235,438864,596364,349834,311028,352917,450943,257821,347333,486382,405561,320095,367164,436275,589443,243295,221774,329861,460180,368981,396260,482437,227691,397126,300232,547960,736533,630824,317192,575561,434267,453777,521554,512415,213375,401681,563855,302241,417338,329823,413921,357616,356115,231194,393337,363742,599791,625974,1062274,387039,297938,504716,267107,365383,562763,746008,271994,483842,450534,577356,394110,558452,185370,441991,513132,308871,415884,305269,583807,1068137,519040,527219,1595551,835971,757771,560342,523696,456853,742259,283397,1945665,585882,793912,379721,345358,190684,241285,110046,193729,310440,234315,276919,241952,223641,439242,335966,435137,298147,344393,322729,395371,303201,363259,693791,425738,640378,317924,344470,238444,1160619,521264,1173794,203808,291139,472976,307984,327815,277187,611194
"43",43,403475,511521,557958,1047801,316542,235448,208585,182458,185523,211432,174360,289746,208306,190227,201795,159026,217249,285858,323217,360556,287154,155215,277359,354430,423350,403363,335801,196602,171616,245247,280766,398056,249800,197627,214563,251918,384929,223685,577057,346732,439832,291712,255811,345609,292190,411136,243549,268666,308236,328033,366523,240768,320696,322480,262296,369115,257298,385112,309073,339936,913991,398837,724361,469498,1114641,562155,481139,166086,309156,128458,96040,144579,123583,289929,2445155,312501,206676,170838,261968,344837,181360,204844,197220,193436,238059,238933,304427,240915,349838,183429,221407,303586,254328,248138,390718,205037,239757,202036,404024,308516,382179,230274,244469,407671,473547,332487,332926,409633,359258,236369,422647,401630,261392,288638,340901,195430,193431,303442,247647,343795,171806,309098,254190,188736,576478,254058,349585,171262,377311,357192,196410,251307,324215,290784,307919,353024,259879,322710,306830,265322,252043,364516,392479,344969,337032,324512,289275,356216,491767,225703,338869,299229,280503,485848,263088,373954,439364,340766,272395,408367,476630,485013,315071,335061,418267,261803,488699,423450,288710,336581,429952,273314,397202,369737,430797,522149,538017,487357,330102,473352,442584,603543,356336,320974,362621,453110,263876,357468,489894,411960,328440,375637,442195,593049,247711,225773,332943,483467,379807,399214,489791,241563,436576,304600,555793,741093,633628,327128,588105,438346,461122,526637,528731,221129,409551,568538,309441,432278,331854,418836,361013,366100,235751,398608,384464,603632,631859,1067007,391734,302409,510964,271643,388120,569278,753158,276593,498269,485176,587075,403588,566028,189025,453680,526492,313551,423204,312033,590337,1079381,526119,531334,1598583,845290,775053,573621,527111,467773,744835,295989,1952240,590560,799553,383051,348646,196103,244899,112154,195592,321679,236613,280891,245073,226385,442973,341955,443212,302728,351298,329752,401643,306833,368532,705473,434073,651031,325038,356079,240693,1163164,527381,1186426,206688,295049,484128,312946,350810,283931,614961
"44",44,406509,518177,564018,1070152,320230,240784,210653,185169,187511,214296,175545,293561,211872,191167,209450,165678,219799,292083,326713,366005,292639,158069,284750,360068,428142,405960,339165,200870,173588,246967,287332,401887,254724,200437,218972,257874,392007,226105,581191,351311,454829,295265,260156,348286,294461,414434,247109,296553,317252,331843,379437,244046,324438,325719,265038,378002,260859,389685,312549,350056,917274,403186,729545,494731,1117607,573443,485121,168543,314263,130511,97331,146917,127491,291249,2470916,318382,213072,174170,265256,347317,183249,208893,200364,196093,243339,244569,308121,245755,354656,192723,233447,311654,257499,251226,397429,207943,245170,209090,407936,314351,386572,233724,247784,412575,476395,337736,338095,414091,385532,239430,432237,404712,266558,292046,343972,198626,196550,307826,250617,355724,177821,312155,261447,191764,580299,256027,355678,175706,379747,365060,199124,254697,329412,293474,311969,357685,264141,324451,311422,269819,255925,377799,395921,349159,347248,331780,292162,359772,501393,255444,346724,303221,292152,491384,270529,377490,441829,344678,277294,413959,483851,492996,325069,338669,423646,264993,492259,430487,296011,343386,435022,277994,402569,374482,444109,530601,551217,492508,334584,477616,447659,611427,364163,324348,371715,456898,266920,363405,493150,417558,332666,381004,444819,596317,251287,229261,336774,488027,383785,403836,494479,277804,445677,309831,564211,746754,644419,331152,593074,442065,470388,535222,533984,224465,412355,574556,312305,437008,338961,425000,365873,371387,238536,405387,389560,606594,638778,1069719,397494,308257,517036,274984,392949,577008,765713,283017,506024,489684,591483,410010,572675,194788,458563,536283,318348,428519,316266,593661,1084141,530080,536801,1602569,860849,781656,581621,543296,484108,746755,301382,1955327,595941,825381,386696,353682,198158,248036,114358,199103,328700,242676,284291,250088,229945,445920,345997,450152,309630,355018,333006,404907,312108,373632,709604,442077,657315,330570,360774,243411,1165355,531360,1191994,208913,298556,489088,317257,354893,287715,620604
"45",45,412187,527417,567080,1088624,323894,242903,214409,187956,188945,218296,176690,295786,214561,193369,211789,167628,222916,296669,329824,368646,298982,161340,287943,366183,434336,408748,344230,206083,175141,249822,294201,403841,258921,203128,223588,264962,395036,227707,584832,355796,461169,302381,262963,353083,298918,422495,250859,303719,325320,336921,383412,247356,326672,328377,269608,384588,264332,394841,315678,355321,923049,407807,748811,509572,1119744,579109,489267,171408,318340,134084,98582,153255,129411,292481,2473257,320816,215172,176595,271046,349941,184936,211749,204787,198149,248387,248383,311072,250929,359802,196553,236415,319054,261499,252762,401796,211375,250566,212445,411527,316117,390478,237643,249840,417823,478933,343519,343199,418559,389641,243597,434932,408427,270890,296751,347519,200763,199785,311363,254305,361453,182169,316874,267675,195396,588109,259599,359194,179709,381622,370733,201202,258269,333349,298555,315981,362848,270548,328313,317316,273804,261009,385816,400135,352638,350986,336880,295414,371484,505129,258398,352175,310061,298615,496680,273796,382402,446036,348046,280014,419999,493585,497381,330579,343292,428170,270186,497075,436520,300049,345815,438425,281609,408813,379191,447254,538308,560905,496466,344182,486186,452106,618303,369671,327433,376392,458846,271467,370265,496542,425262,336714,384671,448626,600475,257911,234189,339951,494395,386930,408173,497430,281515,452293,314142,570240,750435,648286,335666,596617,445615,476962,542358,566667,229075,417337,582490,315393,444129,342868,429802,370588,378892,250817,408945,397281,617794,642320,1074256,400864,312181,522772,278322,399427,583426,942236,287882,513577,494960,595751,414778,576380,197465,465247,544554,321373,436204,318589,598223,1089321,534388,541834,1604178,1036073,790071,587830,546176,498629,748747,306414,1961546,601388,832669,388976,356802,201566,250317,117698,202533,334089,246421,288305,254980,232985,450378,351971,454640,315445,362859,336086,432060,317521,377944,714965,456386,666860,335466,365622,246421,1169124,536015,1199514,211193,303689,494185,322314,358315,291346,624027
"46",46,418851,533641,572249,1104304,327742,246527,218249,192984,190312,221384,177951,298871,218307,194537,219859,172274,226083,312813,334193,373218,324618,163820,299790,370012,438767,411649,347869,208644,178288,253767,307062,410911,266182,208690,226168,268801,406040,232646,616351,363415,469310,306407,270051,356533,303296,427828,253793,313263,339241,339731,415976,252731,331872,332276,273463,397327,268736,400375,321284,358821,926795,412515,753128,522992,1124960,593800,494627,174944,330363,141307,99792,156452,131754,293586,2476223,333846,225166,178678,275125,353429,187145,214629,208524,201189,252555,252395,314409,255322,365754,198469,240239,322039,265449,258066,417380,216356,258284,221696,416658,327735,395883,241232,258789,423191,482355,348496,348527,423034,393891,247837,441735,410768,274075,299910,352215,205357,202621,317219,257325,364356,184696,323035,280199,198578,596144,265153,365942,184676,385790,374439,205029,261553,339464,303270,319462,369243,279586,331271,323064,277746,265272,404056,404023,357459,363478,341674,299098,376590,517697,261662,359387,314373,308224,534791,278522,388154,449806,353206,283017,425551,504555,502053,345753,347837,436221,273665,501075,443462,308444,360305,443921,285214,414218,382697,450446,554389,585954,500993,353218,492253,456576,625251,378855,331386,391975,463454,275609,381557,505126,435429,371490,388310,452194,627470,261831,241574,344309,501027,391712,418494,502327,287235,473483,318631,577395,753724,654034,341925,604593,525770,484531,552166,612870,233603,421116,590055,318547,448498,394669,434125,376460,384907,254918,416886,401593,620439,647088,1083614,405639,315984,528324,289160,418088,599851,965989,292777,521089,500322,602928,420561,582908,204790,475378,569127,326333,440319,324398,603891,1098591,559619,548202,1606593,1071178,795413,610006,554896,514468,751155,310829,1968181,605246,839496,392419,361100,203736,254056,120498,205201,338173,257069,293042,257680,237873,453075,357655,458953,320594,375315,341366,452107,322804,384159,721757,472007,674783,340062,369775,251296,1173539,541022,1205402,213665,311252,498962,326711,363376,295491,629508
